datetime,m3/d
2019-01-01,4727.677104899999
2019-01-02,4487.217111
2019-01-03,4226.6394837
2019-01-04,3949.9188677999996
2019-01-05,4036.6224909
2019-01-06,3809.5953345
2019-01-07,5356.0878489
2019-01-08,4217.1314967
2019-01-09,3760.0749782999997
2019-01-10,3586.147884
2019-01-11,3428.9631936
2019-01-12,3277.3456206000005
2019-01-13,3189.2044212
2019-01-14,3120.0399405000003
2019-01-15,3042.7030053
2019-01-16,2925.7853454
2019-01-17,2858.7008754
2019-01-18,2781.3954528
2019-01-19,2763.0517932000002
2019-01-20,2742.0876108000007
2019-01-21,2727.9863829
2019-01-22,2627.2113048
2019-01-23,2603.3521635
2019-01-24,2527.6684932000003
2019-01-25,2505.2911146
2019-01-26,2499.0847191
2019-01-27,2535.1161678000003
2019-01-28,2346.4524259705263
2019-01-29,2264.8381415999997
2019-01-30,2187.2180304
2019-01-31,2159.8581312
2019-02-01,2159.8581312
2019-02-02,2128.9662243000002
2019-02-03,3176.6951205
2019-02-04,5062.5590661
2019-02-05,3111.0288282
2019-02-06,2637.58815
2019-02-07,2405.1576492
2019-02-08,2230.6048020000003
2019-02-09,2116.6915545
2019-02-10,2053.6019424
2019-02-11,2039.6731599000002
2019-02-12,2033.2293237000001
2019-02-13,1988.0896077
2019-02-14,1928.6633223
2019-02-15,1873.435572
2019-02-16,1903.5186543
2019-02-17,1950.5005632
2019-02-18,1902.5952983999998
2019-02-19,1850.5243584
2019-02-20,1802.1159179999997
2019-02-21,1754.6521824
2019-02-22,1752.6976794
2019-02-23,1752.6657501
2019-02-24,1714.6168002000002
2019-02-25,1686.2126480999998
2019-02-26,1660.8041091000002
2019-02-27,1657.9355706
2019-02-28,1582.2840906000001
2019-03-01,1460.3742882
2019-03-02,1443.2800545
2019-03-03,1481.2663104
2019-03-04,1457.4144753
2019-03-05,1408.8274038
2019-03-06,1408.8274038
2019-03-07,1407.0912282
2019-03-08,1396.4597856
2019-03-09,1397.3431868999999
2019-03-10,1340.2069695
2019-03-11,1297.3515219
2019-03-12,1551.093138
2019-03-13,4230.8043678
2019-03-14,15191.309104200001
2019-03-15,10724.061092400001
2019-03-16,6867.5777514
2019-03-17,5120.6439474
2019-03-18,4285.956888899999
2019-03-19,6132.1586868
2019-03-20,8422.2288243
2019-03-21,11083.4321373
2019-03-22,12750.5073816
2019-03-23,11720.012454000002
2019-03-24,10885.8617271
2019-03-25,9160.8486939
2019-03-26,8281.4610735
2019-03-27,9060.808135500001
2019-03-28,7789.477794300001
2019-03-29,5929.978165200001
2019-03-30,4998.5098407
2019-03-31,4325.6774655
2019-04-01,3988.4041925999995
2019-04-02,3890.8145439
2019-04-03,3758.5515500999995
2019-04-04,3559.4425224
2019-04-05,3373.1888121000006
2019-04-06,3370.2495246000003
2019-04-07,3399.2819946
2019-04-08,3358.8887931000004
2019-04-09,3247.4694267
2019-04-10,3128.5348488
2019-04-11,3121.9888608
2019-04-12,2923.6196043
2019-04-13,2869.2877266
2019-04-14,3419.1017973
2019-04-15,6424.143696
2019-04-16,7884.0806256
2019-04-17,7487.1572769
2019-04-18,11980.7396226
2019-04-19,12014.6207058
2019-04-20,9978.5888703
2019-04-21,8357.6512926
2019-04-22,7322.1182450999995
2019-04-23,6624.1806507
2019-04-24,6072.900669
2019-04-25,5619.4218027
2019-04-26,5266.1496959999995
2019-04-27,4992.7389975
2019-04-28,4736.5661376
2019-04-29,4544.1221319
2019-04-30,4414.4344764
2019-05-01,4318.703859599999
2019-05-02,3756.8991438
2019-05-03,3442.3521696000003
2019-05-04,3509.2970496000003
2019-05-05,3482.5190976
2019-05-06,3402.2212821
2019-05-07,3316.5394551000004
2019-05-08,3458.1633867
2019-05-09,4324.3948422
2019-05-10,5834.694315600001
2019-05-11,6436.6146504
2019-05-12,6226.9841412
2019-05-13,5747.090204700001
2019-05-14,5296.8460266
2019-05-15,4917.3804549
2019-05-16,4642.8128595
2019-05-17,4370.1396354
2019-05-18,4337.5459599
2019-05-19,18315.767681100002
2019-05-20,22145.2162821
2019-05-21,14436.660840300001
2019-05-22,11443.976856
2019-05-23,10351.3262454
2019-05-24,9595.5542091
2019-05-25,8363.9187045
2019-05-26,7409.8652562
2019-05-27,36487.6614117
2019-05-28,50561.92437660001
2019-05-29,26859.162958200002
2019-05-30,18583.2548631
2019-05-31,14517.386228700001
2019-06-01,12140.7471891
2019-06-02,10516.4235765
